,SiteID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452
,Date,1/1/1981,2/1/1981,3/1/1981,4/1/1981,5/1/1981,6/1/1981,7/1/1981,8/1/1981,9/1/1981,10/1/1981,11/1/1981,12/1/1981,1/1/1982,2/1/1982,3/1/1982,4/1/1982,5/1/1982,6/1/1982,7/1/1982,8/1/1982,9/1/1982,10/1/1982,11/1/1982,12/1/1982,1/1/1983,2/1/1983,3/1/1983,4/1/1983,5/1/1983,6/1/1983,7/1/1983,8/1/1983,9/1/1983,10/1/1983,11/1/1983,12/1/1983,1/1/1984,2/1/1984,3/1/1984,4/1/1984,5/1/1984,6/1/1984,7/1/1984,8/1/1984,9/1/1984,10/1/1984,11/1/1984,12/1/1984,1/1/1985,2/1/1985,3/1/1985,4/1/1985,5/1/1985,6/1/1985,7/1/1985,8/1/1985,9/1/1985,10/1/1985,11/1/1985,12/1/1985,1/1/1986,2/1/1986,3/1/1986,4/1/1986,5/1/1986,6/1/1986,7/1/1986,8/1/1986,9/1/1986,10/1/1986,11/1/1986,12/1/1986,1/1/1987,2/1/1987,3/1/1987,4/1/1987,5/1/1987,6/1/1987,7/1/1987,8/1/1987,9/1/1987,10/1/1987,11/1/1987,12/1/1987,1/1/1988,2/1/1988,3/1/1988,4/1/1988,5/1/1988,6/1/1988,7/1/1988,8/1/1988,9/1/1988,10/1/1988,11/1/1988,12/1/1988,1/1/1989,2/1/1989,3/1/1989,4/1/1989,5/1/1989,6/1/1989,7/1/1989,8/1/1989,9/1/1989,10/1/1989,11/1/1989,12/1/1989,1/1/1990,2/1/1990,3/1/1990,4/1/1990,5/1/1990,6/1/1990,7/1/1990,8/1/1990,9/1/1990,10/1/1990,11/1/1990,12/1/1990,1/1/1991,2/1/1991,3/1/1991,4/1/1991,5/1/1991,6/1/1991,7/1/1991,8/1/1991,9/1/1991,10/1/1991,11/1/1991,12/1/1991,1/1/1992,2/1/1992,3/1/1992,4/1/1992,5/1/1992,6/1/1992,7/1/1992,8/1/1992,9/1/1992,10/1/1992,11/1/1992,12/1/1992,1/1/1993,2/1/1993,3/1/1993,4/1/1993,5/1/1993,6/1/1993,7/1/1993,8/1/1993,9/1/1993,10/1/1993,11/1/1993,12/1/1993,1/1/1994,2/1/1994,3/1/1994,4/1/1994,5/1/1994,6/1/1994,7/1/1994,8/1/1994,9/1/1994,10/1/1994,11/1/1994,12/1/1994,1/1/1995,2/1/1995,3/1/1995,4/1/1995,5/1/1995,6/1/1995,7/1/1995,8/1/1995,9/1/1995,10/1/1995,11/1/1995,12/1/1995,1/1/1996,2/1/1996,3/1/1996,4/1/1996,5/1/1996,6/1/1996,7/1/1996,8/1/1996,9/1/1996,10/1/1996,11/1/1996,12/1/1996,1/1/1997,2/1/1997,3/1/1997,4/1/1997,5/1/1997,6/1/1997,7/1/1997,8/1/1997,9/1/1997,10/1/1997,11/1/1997,12/1/1997,1/1/1998,2/1/1998,3/1/1998,4/1/1998,5/1/1998,6/1/1998,7/1/1998,8/1/1998,9/1/1998,10/1/1998,11/1/1998,12/1/1998,1/1/1999,2/1/1999,3/1/1999,4/1/1999,5/1/1999,6/1/1999,7/1/1999,8/1/1999,9/1/1999,10/1/1999,11/1/1999,12/1/1999,1/1/2000,2/1/2000,3/1/2000,4/1/2000,5/1/2000,6/1/2000,7/1/2000,8/1/2000,9/1/2000,10/1/2000,11/1/2000,12/1/2000,1/1/2001,2/1/2001,3/1/2001,4/1/2001,5/1/2001,6/1/2001,7/1/2001,8/1/2001,9/1/2001,10/1/2001,11/1/2001,12/1/2001,1/1/2002,2/1/2002,3/1/2002,4/1/2002,5/1/2002,6/1/2002,7/1/2002,8/1/2002,9/1/2002,10/1/2002,11/1/2002,12/1/2002,1/1/2003,2/1/2003,3/1/2003,4/1/2003,5/1/2003,6/1/2003,7/1/2003,8/1/2003,9/1/2003,10/1/2003,11/1/2003,12/1/2003,1/1/2004,2/1/2004,3/1/2004,4/1/2004,5/1/2004,6/1/2004,7/1/2004,8/1/2004,9/1/2004,10/1/2004,11/1/2004,12/1/2004,1/1/2005,2/1/2005,3/1/2005,4/1/2005,5/1/2005,6/1/2005,7/1/2005,8/1/2005,9/1/2005,10/1/2005,11/1/2005,12/1/2005,1/1/2006,2/1/2006,3/1/2006,4/1/2006,5/1/2006,6/1/2006,7/1/2006,8/1/2006,9/1/2006,10/1/2006,11/1/2006,12/1/2006,1/1/2007,2/1/2007,3/1/2007,4/1/2007,5/1/2007,6/1/2007,7/1/2007,8/1/2007,9/1/2007,10/1/2007,11/1/2007,12/1/2007,1/1/2008,2/1/2008,3/1/2008,4/1/2008,5/1/2008,6/1/2008,7/1/2008,8/1/2008,9/1/2008,10/1/2008,11/1/2008,12/1/2008,1/1/2009,2/1/2009,3/1/2009,4/1/2009,5/1/2009,6/1/2009,7/1/2009,8/1/2009,9/1/2009,10/1/2009,11/1/2009,12/1/2009,1/1/2010,2/1/2010,3/1/2010,4/1/2010,5/1/2010,6/1/2010,7/1/2010,8/1/2010,9/1/2010,10/1/2010,11/1/2010,12/1/2010,1/1/2011,2/1/2011,3/1/2011,4/1/2011,5/1/2011,6/1/2011,7/1/2011,8/1/2011,9/1/2011,10/1/2011,11/1/2011,12/1/2011,1/1/2012,2/1/2012,3/1/2012,4/1/2012,5/1/2012,6/1/2012,7/1/2012,8/1/2012,9/1/2012,10/1/2012,11/1/2012,12/1/2012,1/1/2013,2/1/2013,3/1/2013,4/1/2013,5/1/2013,6/1/2013,7/1/2013,8/1/2013,9/1/2013,10/1/2013,11/1/2013,12/1/2013,1/1/2014,2/1/2014,3/1/2014,4/1/2014,5/1/2014,6/1/2014,7/1/2014,8/1/2014,9/1/2014,10/1/2014,11/1/2014,12/1/2014,1/1/2015,2/1/2015,3/1/2015,4/1/2015,5/1/2015,6/1/2015,7/1/2015,8/1/2015,9/1/2015,10/1/2015,11/1/2015,12/1/2015,1/1/2016,2/1/2016,3/1/2016,4/1/2016,5/1/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016,10/1/2016,11/1/2016,12/1/2016,1/1/2017,2/1/2017,3/1/2017,4/1/2017,5/1/2017,6/1/2017,7/1/2017,8/1/2017,9/1/2017,10/1/2017,11/1/2017,12/1/2017,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,6/1/2018,7/1/2018,8/1/2018
,Year,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1981,1982,1982,1982,1982,1982,1982,1982,1982,1982,1982,1982,1982,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983,1983,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1984,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1986,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1992,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1993,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,1994,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1997,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1998,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,1999,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018
,Month,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8
1,FL11,24.986667,72.625,70.28000005,45.08499908,88.32333374,78.86333338,161.7516683,144.1583316,122.9933332,104.3799985,16.14666684,105.3666662,119.2216657,120.2799975,72.32500076,64.68333244,117.8433329,216.2716649,109.2649994,92.03166453,52.03500112,139.1083349,55.72333336,92.54666773,48.40833282,139.475001,172.4816691,124.2316691,146.8000031,69.02333069,50.89166641,50.77666601,58.80166562,115.9133339,115.2666664,164.4400024,112.6833344,123.5283318,185.2799988,113.4316661,146.899999,52.70000013,242.7149989,55.82999992,47.86666679,70.73666636,39.7183342,64.81333351,137.5700022,107.600001,32.6299998,9.433333397,126.1216672,49.08333333,109.7983335,159.3766658,9.019999901,78.58666738,280.9433339,32.16666635,34.37666702,43.9483331,76.12000148,25.53499985,70.96833356,13.51166662,122.8133329,233.4950002,12.64499998,55.36499977,85.97833252,103.1933339,172.5200017,115.1399994,120.2916679,128.5650012,79.68999863,62.40333303,70.62166723,65.95833333,124.1733373,64.00166639,71.91666667,95.56333288,69.96999868,48.66333326,51.81833394,84.85666656,83.14333471,56.87166723,100.9166667,105.2050018,118.5399984,119.4233335,77.28666687,15.2233332,34.95666631,154.1200002,185.9300003,156.5016658,113.4516678,157.4849981,202.0833359,101.2533315,99.59000015,129.1949997,75.30999883,79.78499858,103.1500003,107.8299993,106.2633324,119.5916672,173.5233307,38.18666776,99.75499852,115.0950025,12.83999999,203.649999,52.85999997,97.68833288,132.4333318,33.16499964,151.3300018,71.99500148,61.80999947,52.39000003,117.6266658,74.71000099,127.0866661,49.39833323,24.00666682,70.29000092,126.2833328,72.24333318,95.23499934,57.56333288,75.35166804,100.6783333,115.6750005,100.3516668,68.61500041,111.5633341,116.6849988,77.15666707,131.6899999,66.59000015,202.1166687,133.0883293,109.2933337,46.27833303,82.61500041,42.45833333,50.91499901,79.78166707,118.2566655,99.70666758,100.278333,89.94833374,183.2300008,51.86833318,53.35833295,83.23333486,150.0749995,92.52333196,26.74333318,102.2949994,64.62833341,28.75999991,109.8116659,96.64666748,80.86333466,20.34499995,122.1866646,306.9616699,106.5449994,86.19000117,41.48333359,203.956665,115.4866651,42.91999944,101.6349996,58.04833412,110.5449994,91.06166712,127.7699979,37.51666641,109.848334,146.6133347,312.181661,67.57333438,85.55833308,98.21166738,92.08500036,77.56666692,76.80000051,145.6750005,28.80166658,119.5583344,95.02499898,61.22333336,93.23333232,75.71000036,92.39833323,66.74166616,201.3266678,153.1833318,228.2083308,105.2699992,104.8316663,56.81833331,100.376667,86.48500061,98.82833227,41.99499957,55.46666718,136.9133326,132.3216642,56.8983345,97.60999934,125.6916669,17.10166677,92.60166804,79.74666723,83.57000097,454.0116679,67.80666478,37.41000017,57.35833295,134.5783335,64.79000092,89.44333267,151.1100019,65.88166809,104.7116661,123.026666,125.7716662,108.5416654,1.833333333,63.6200002,43.38166618,52.84499995,79.73499807,163.7599945,66.71500142,85.35666529,113.2816671,203.3333333,65.42000008,67.96499952,34.41833274,11.6266667,55.73833402,126.198335,26.29666678,89.01333364,33.08833377,59.95666695,64.51166471,140.8449999,147.378334,107.1583328,287.8400014,87.28999964,118.1783346,60.29166603,126.8349978,162.0766678,184.7033335,181.7850011,125.2200012,162.9150009,146.5666656,161.8883336,80.44500097,56.02666664,104.1850001,40.21499952,59.10833295,31.3033336,69.55333328,106.9683342,82.10499827,164.5399984,231.6049983,109.4516665,69.64500046,98.87666702,57.36499977,89.48333359,55.47333336,110.1416664,50.76666641,66.19500033,58.38000043,88.71166738,45.91166687,24.70833333,82.06666565,104.7733345,130.3966637,57.58999952,47.8016669,25.01500003,108.8533325,104.1899999,175.0566686,129.0833346,78.38500086,127.1700007,91.64833323,189.8333333,70.74166616,87.2533315,52.31500053,85.69666545,102.9583333,64.46833356,82.40333303,66.54166667,42.21666654,19.86999989,114.4683329,13.96999995,85.08833313,42.09333356,79.80999883,121.6883329,143.3449987,88.19666672,64.56333351,97.59666697,158.5616684,234.7816645,26.82000001,80.82499949,96.24833425,77.29500071,31.68833288,179.7183329,47.96000036,100.0183347,171.7583364,93.2450002,82.5316658,123.1783333,55.36500041,234.2799988,191.2600021,118.0133336,81.94833374,79.2783343,41.27499962,182.4983342,60.28166707,125.6683337,95.56999842,137.4050013,47.30500031,31.38166746,57.93166669,29.17999999,38.14666684,132.9950002,76.4716657,132.043335,60.9950002,104.7900009,104.2016652,147.3316663,81.20333354,113.9716657,64.43666585,37.37166723,54.88333321,98.5833346,83.51500193,101.7316653,68.08666547,130.0550003,183.0433324,161.4100037,65.86166763,10.82000001,92.53499985,97.90000025,98.14666748,56.44833247,98.1850001,127.0050011,229.1200002,158.8599981,97.64666621,48.70000076,58.75166639,58.53833453,124.6550001,85.30666606,72.67166646,137.6666667,109.9483312,106.6866671,67.07666524,131.1233342,106.875,101.7399991,68.34000142,96.7866656,99.77000046,82.75,74.67166646,77.09000015,69.63833364,37.82000097,87.87833405,138.9266663,34.14666716,136.1466649,113.5766678,155.5500005,147.901001,48.54400063,99.10666656,59.12166659,65.57166545,146.7221654,133.6471659,121.315834,145.2383334,185.7818324,125.9953346,19.70766671,46.34049988,86.70850118,19.71866639,60.49633408,212.4741669,150.6021652,195.7313309,111.1571668,83.5018336,45.48650042,63.05016708,34.5934995,45.87900035,118.045831,48.5156676,116.4341672,162.6438319,233.3876648,75.83816783,79.59733136,157.9143321
2,JL2,29.04571424,74.39142827,61.05142866,29.97714288,94.47571455,78.09999956,171.391425,168.2785732,94.57142748,81.67714364,18.45285688,100.3642862,140.1857125,114.9557146,71.17428589,97.24142783,163.6228572,227.6671404,134.3442808,98.4442858,36.81428582,108.6328572,65.5828574,134.1542871,47.46142905,142.2842865,181.4671435,121.1185695,131.2214268,87.96142905,31.53285708,85.37285614,64.13142776,130.7071435,131.4885733,179.3971427,109.1714292,159.9657157,196.835713,122.3185719,163.7585711,79.81857082,190.6314283,44.14428602,45.49000004,73.80857086,39.03857095,68.67000035,139.6957169,135.1714281,38.82714353,21.6514285,138.3399974,70.65428598,155.2071446,214.7442845,6.324285712,69.23714229,306.6671404,32.80571474,35.41714314,42.35571507,70.68143027,26.92428562,66.14285605,35.74285671,111.278571,210.8228564,18.21571432,44.52142824,80.0614297,105.5,155.0614297,93.46714347,93.69000026,107.6585726,49.00428554,77.12571498,46.72714288,94.8400007,142.3428585,63.32142803,75.69428471,83.25999778,84.1114284,63.60857173,48.63428552,76.11285727,85.01999991,83.1385716,35.98142924,97.05285645,87.25428663,120.0028578,106.3914294,21.79999978,43.47000068,160.8842839,170.3442862,109.5799997,124.1271439,176.6857147,140.1671448,118.7728577,77.1100017,130.6871447,106.9014293,77.85142844,76.22571346,102.2885731,107.1814281,74.81999969,163.181427,32.79285758,79.96857125,82.01856995,4.232857193,232.2685743,48.77571487,94.62999943,131.237139,24.475714,149.9285692,49.42571422,79.67000035,77.14142718,157.795711,66.03142875,109.8085709,40.09999902,33.85000011,69.83571407,100.8685717,80.25142888,93.41857038,69.0071422,82.68571363,203.318573,62.55285754,137.7100002,59.54428591,96.10285623,174.1985713,66.7842865,126.4214281,73.41714369,199.431427,107.9085715,113.1185717,25.71857153,78.84571402,104.6185706,85.36428506,100.2071424,100.6457149,92.68000031,96.76000105,89.13571603,156.2142879,49.60142844,75.14999826,74.29999978,159.9471414,116.1042862,60.54428537,137.4628568,67.1457149,31.39999989,130.0028578,120.0314287,94.36285618,29.68857166,134.4242881,211.8485696,76.93285806,139.9757167,41.76285716,197.2785754,131.4671446,49.41857202,132.5371443,60.16142927,101.3871416,96.45571681,104.780001,54.22428622,121.308572,122.5914296,339.4657157,111.9057138,84.76000214,91.40142931,94.05714308,72.55142975,76.05714308,148.4885712,36.46428517,95.04571533,137.2485679,22.48714284,99.33857073,86.03285544,109.5814296,77.15142822,225.7257167,162.9900033,196.4771445,84.79142979,83.37857165,62.81285695,61.72285679,108.4285714,97.53428541,43.44428635,68.14571272,103.6714281,180.3571429,57.51428604,90.11428506,113.7271434,28.65000016,72.05714199,72.94000026,130.7300023,565.5499878,67.32428523,61.09999956,45.00857108,121.0685719,58.01428604,69.94857134,148.5957162,61.79857145,89.88857269,186.9485692,119.6071439,105.4214292,5.437142883,59.975714,36.1014279,51.45857239,71.27142879,166.9842856,62.02142824,93.41714369,157.3857138,119.4057127,113.2728588,45.68714305,38.49571446,14.00571414,46.97142846,145.917147,34.08142798,76.93857138,40.29142816,37.7357145,62.07000024,112.1885714,103.1385727,95.45714242,239.8857182,89.0900007,134.0728564,41.55571474,140.7799988,179.6228551,186.2728598,124.3057153,102.2471422,167.2585711,125.3457151,124.4499991,68.64000048,43.54571479,96.14285714,40.25999996,74.56285749,53.17000035,52.80999974,96.33999961,83.20285797,140.9085715,212.4357125,116.3828572,63.54999978,91.8400007,49.68428585,84.69714246,70.52428545,133.6414261,56.37714331,55.6214289,59.75714329,130.7928576,91.38571385,25.57857173,67.42571368,113.1400005,127.8028554,66.58142689,52.43571418,38.13714382,92.30571311,50.20999963,165.3014308,158.5114288,75.08857182,130.1971414,100.8528562,189.0271432,76.57857186,100.4585713,58.47142846,90.54428755,98.41428484,51.01428495,86.11285618,70.92285647,21.65714278,30.13857106,113.2442856,18.98571423,113.75143,31.60999979,88.229999,122.3857149,133.2642855,103.0014289,62.05857086,162.8671417,166.7257145,225.2414267,27.30714308,81.54142979,112.9428558,59.97714233,29.39285687,172.3128575,47.979999,94.61571394,122.5485709,74.96714238,69.274286,69.71428571,54.89285714,189.9471436,186.5157122,123.5442854,105.74,77.51571437,19.87714277,148.2914298,59.31428582,96.75999887,77.62285669,126.5771419,71.11714227,34.65857152,52.41857093,35.63999993,42.09142848,104.0314277,82.76142774,119.5557153,53.61285782,84.03714098,98.09428624,139.0528564,82.25571333,106.5242855,62.14142936,45.9585713,49.61571448,121.9257148,52.79857091,101.941428,56.27714321,179.2699977,70.71428517,224.4942845,57.45428576,11.31142862,78.81999969,88.48000009,98.8400007,60.19285692,107.0842863,122.1028562,232.8257119,213.6114306,92.15000044,71.88285664,68.30999974,64.49571392,133.6842891,75.50571442,77.10714286,137.578574,125.2571444,115.5957151,40.51714325,104.5685719,153.7171413,67.33571352,63.89285714,94.74285562,121.2000002,80.13285719,81.53142875,92.98857117,138.4942845,31.9442858,128.6000007,113.9342869,69.61000061,156.3085698,152.1442827,171.328574,231.6285749,58.15500041,122.1288561,93.701428,97.85642787,147.0861424,163.5019989,141.1065717,159.5015717,169.4545724,152.9522858,15.85128553,46.58542906,101.4557157,24.69014277,70.59714399,187.0420009,140.6797137,145.5349993,91.69414193,73.13557162,60.61957169,55.30485753,29.12571417,53.49857167,112.720714,54.26142883,116.7208568,146.9502847,146.6984297,72.43671472,137.475999,276.7970014
